"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
789.70825,3.083195,789.70825,0.123004,19573.22658144493,,,
794.7705,3.071242,794.7705,0.082795,13090.982302637904,,,
799.8981,3.048007,799.8981,0.067113,10543.42835720559,,,
805.09216,3.029401,805.09216,0.060415,9429.942538087931,,,
810.35425,3.014394,810.35425,0.05675,8800.367646185396,,,
815.6855,3.001745,815.6855,0.054373,8376.650920171454,,,
821.0874,2.990716,821.0874,0.052649,8057.690892289861,,,
826.56134,2.980498,826.56134,0.051269,7794.5244212314665,,,
832.1087,2.97155,832.1087,0.050157,7574.628782326312,,,
837.7311,2.963316,837.7311,0.049203,7380.687351088128,,,
843.42993,2.955662,843.42993,0.048361,7205.367365621278,,,
849.20685,2.948492,849.20685,0.047601,7043.888160041467,,,
855.0634,2.941734,855.0634,0.046905,6893.355670076828,,,
861.00134,2.935177,861.00134,0.04625,6750.2176119042015,,,
867.02234,2.929094,867.02234,0.045644,6615.509126579254,,,
873.1282,2.922826,873.1282,0.045049,6483.611797285512,,,
879.32056,2.917285,879.32056,0.044505,6360.209798711577,,,
885.60144,2.91196,885.60144,0.043984,6241.173739532017,,,
891.97266,2.906832,891.97266,0.043482,6125.870798030575,,,
898.4362,2.901882,898.4362,0.042996,6013.823473887039,,,
904.99414,2.897096,904.99414,0.042526,5904.982730012353,,,
911.6485,2.892462,911.6485,0.042068,5798.748958670602,,,
918.4015,2.887967,918.4015,0.041622,5695.085185628045,,,
925.2552,2.883603,925.2552,0.041187,5593.820023855163,,,
932.21204,2.879361,932.21204,0.040761,5494.649399849998,,,
939.27423,2.875232,939.27423,0.040344,5397.546742719711,,,
946.4443,2.871211,946.4443,0.039935,5302.351236987042,,,
953.7246,2.86729,953.7246,0.039534,5209.0393376460615,,,
961.1178,2.863465,961.1178,0.039139,5117.324634663969,,,
968.6265,2.859729,968.6265,0.038751,5027.318865187277,,,
976.25354,2.856079,976.25354,0.038369,4938.871454461994,,,
984.0016,2.85251,984.0016,0.037993,4851.96486216433,,,
991.8736,2.849018,991.8736,0.037622,4766.454064846779,,,
999.87256,2.8456,999.87256,0.037256,4682.323751424535,,,
1008.0016,2.842253,1008.0016,0.036895,4599.558609994088,,,
1016.2639,2.838974,1016.2639,0.036539,4518.143524315583,,,
